table,device,orientation,R1,R2,inclination_deg,effective_SC,source_pdf_page
C14,horizontal_projection,North-East & North-West,1.5,,20,0.4894,44
C14,horizontal_projection,North-East & North-West,1.5,,30,0.4802,44
C14,horizontal_projection,North-East & North-West,1.5,,40,0.4759,44
C14,horizontal_projection,North-East & North-West,1.5,,50,0.4759,44
C14,horizontal_projection,North-East & North-West,1.6,,0,0.5413,44
C14,horizontal_projection,North-East & North-West,1.6,,10,0.5037,44
C14,horizontal_projection,North-East & North-West,1.6,,20,0.4874,44
C14,horizontal_projection,North-East & North-West,1.6,,30,0.4780,44
C14,horizontal_projection,North-East & North-West,1.6,,40,0.4759,44
C14,horizontal_projection,North-East & North-West,1.6,,50,0.4759,44
C14,horizontal_projection,North-East & North-West,1.7,,0,0.5359,44
C14,horizontal_projection,North-East & North-West,1.7,,10,0.5001,44
C14,horizontal_projection,North-East & North-West,1.7,,20,0.4854,44
